"Guid","Name","SBQQ__Alignment__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeadingField__c","SBQQ__ConditionalPrintField__c","SBQQ__DisplayOrder__c","SBQQ__DynamicNumberScale__c","SBQQ__FieldName__c","SBQQ__FontFamily__c","SBQQ__FontSize__c","SBQQ__FontWeight__c","SBQQ__HeadingTextColor__c","SBQQ__HideOnComponents__c","SBQQ__LeftMargin__c","SBQQ__RightMargin__c","SBQQ__RollUp__c","SBQQ__Section__c","SBQQ__SeparateLine__c","SBQQ__SubGroupSummaryLabel__c","SBQQ__SummaryFontWeight__c","SBQQ__SummaryFunction__c","SBQQ__SummaryLabel__c","SBQQ__SummaryLevel__c","SBQQ__SummaryShadingColor__c","SBQQ__SummaryTextColor__c","SBQQ__Template__c","SBQQ__TextColor__c","SBQQ__TopMargin__c","SBQQ__WidthDiscardedWhenHidden__c","SBQQ__Width__c"
0411ddd1-d9e2-48b1-acb1-6c2df84b68ba,Description,Left,3.0,"#N/A","#N/A",2.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",682fdef1-0941-4958-8490-ccd0a1279d80,"#N/A",3.0,false,35.0
07a7282a-35ad-4117-9982-b9ac172901f6,EXTENDED,Right,3.0,"#N/A","#N/A",60.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",682fdef1-0941-4958-8490-ccd0a1279d80,"#N/A",3.0,false,15.0
0856af27-f4a0-42eb-80e0-d29d7c073c49,Product,Left,3.0,"#N/A","#N/A",1.0,false,SBQQ__ProductName__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",141c2509-9dd3-491d-8c67-1c8ab7283cd8,"#N/A",3.0,false,20.0
1deb2228-94be-465e-8385-297ce8abd283,Quantity,Left,3.0,"#N/A","#N/A",5.0,false,SBQQ__Quantitty__C,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",682fdef1-0941-4958-8490-ccd0a1279d80,"#N/A",3.0,false,10.0
1e73ba9d-07bb-41a2-b6ae-84a032e1bf7e,Quantity,Left,3.0,"#N/A","#N/A",5.0,false,SBQQ__Quantitty__C,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",141c2509-9dd3-491d-8c67-1c8ab7283cd8,"#N/A",3.0,false,10.0
20273bd6-0e7e-4bb9-bb34-862515eb3365,DESCRIPTION,Left,3.0,"#N/A","#N/A",30.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",682fdef1-0941-4958-8490-ccd0a1279d80,"#N/A",3.0,false,50.0
465b3f51-4bd3-4e26-8c9a-0945a93ce034,QTY,Left,3.0,"#N/A","#N/A",10.0,false,SBQQ__Quantity__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",141c2509-9dd3-491d-8c67-1c8ab7283cd8,"#N/A",3.0,false,5.0
4e78711b-f638-4a37-b52b-3f907dceeb95,UNIT PRICE,Right,3.0,"#N/A","#N/A",40.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",141c2509-9dd3-491d-8c67-1c8ab7283cd8,"#N/A",3.0,false,10.0
5efd446d-a9f8-43d2-8ee3-bc61316e6466,Product,Left,3.0,"#N/A","#N/A",1.0,false,SBQQ__ProductName__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",682fdef1-0941-4958-8490-ccd0a1279d80,"#N/A",3.0,false,20.0
64384a22-5bb1-45af-9150-4e8f6e25553d,Description,Left,3.0,"#N/A","#N/A",2.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",141c2509-9dd3-491d-8c67-1c8ab7283cd8,"#N/A",3.0,false,35.0
7512ece0-29a7-4168-825d-de9e09c220c5,DISC (%),Right,3.0,"#N/A","#N/A",50.0,false,SBQQ__Discount__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",682fdef1-0941-4958-8490-ccd0a1279d80,"#N/A",3.0,false,10.0
8ff65ba8-9014-425c-b264-5f77f8b53af2,List Price,Left,3.0,"#N/A","#N/A",3.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",141c2509-9dd3-491d-8c67-1c8ab7283cd8,"#N/A",3.0,false,10.0
a243e81c-a5ee-4361-a7d6-11220b052d7e,UNIT PRICE,Right,3.0,"#N/A","#N/A",40.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",682fdef1-0941-4958-8490-ccd0a1279d80,"#N/A",3.0,false,10.0
ac68efa7-5831-42aa-bd33-9a42a358f269,List Price,Left,3.0,"#N/A","#N/A",3.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",682fdef1-0941-4958-8490-ccd0a1279d80,"#N/A",3.0,false,10.0
b46a9fff-4038-4def-b73c-0cab3afbf026,QTY,Left,3.0,"#N/A","#N/A",10.0,false,SBQQ__Quantity__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",682fdef1-0941-4958-8490-ccd0a1279d80,"#N/A",3.0,false,5.0
bd17e187-206b-4058-9095-41a28ed727e1,EXTENDED,Right,3.0,"#N/A","#N/A",60.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",141c2509-9dd3-491d-8c67-1c8ab7283cd8,"#N/A",3.0,false,15.0
c89931ad-4920-4019-a997-907b950342b5,Net Total,Left,3.0,"#N/A","#N/A",6.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",141c2509-9dd3-491d-8c67-1c8ab7283cd8,"#N/A",3.0,false,15.0
cd6b5604-fd39-4848-818a-cbf2de29a2a1,Net Price,Left,3.0,"#N/A","#N/A",4.0,false,SBQ__NetPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",141c2509-9dd3-491d-8c67-1c8ab7283cd8,"#N/A",3.0,false,10.0
d3e56012-c825-4cf1-b889-17c361f4e43a,PART #,Left,3.0,"#N/A","#N/A",20.0,false,SBQQ__ProductCode__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",682fdef1-0941-4958-8490-ccd0a1279d80,"#N/A",3.0,false,10.0
dacfe703-4cc9-4d9e-8ec7-ea4837200630,DISC (%),Right,3.0,"#N/A","#N/A",50.0,false,SBQQ__Discount__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",141c2509-9dd3-491d-8c67-1c8ab7283cd8,"#N/A",3.0,false,10.0
eee43c69-be4d-4932-bf05-089c0bfd78fd,Net Price,Left,3.0,"#N/A","#N/A",4.0,false,SBQ__NetPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",682fdef1-0941-4958-8490-ccd0a1279d80,"#N/A",3.0,false,10.0
ef43cf95-8f28-44be-ae20-74649f9eb364,Net Total,Left,3.0,"#N/A","#N/A",6.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",682fdef1-0941-4958-8490-ccd0a1279d80,"#N/A",3.0,false,15.0
f4a1d9cc-b4de-4858-8c56-8d6a1b51e8be,PART #,Left,3.0,"#N/A","#N/A",20.0,false,SBQQ__ProductCode__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",141c2509-9dd3-491d-8c67-1c8ab7283cd8,"#N/A",3.0,false,10.0
f84d4276-6e64-4832-88e7-b5900c0f77aa,DESCRIPTION,Left,3.0,"#N/A","#N/A",30.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",141c2509-9dd3-491d-8c67-1c8ab7283cd8,"#N/A",3.0,false,50.0
